Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,3907.000000,3920.500000,3884.500000,3912.000000,3912.000000,1296054
2021-02-12,3905.250000,3936.250000,3890.250000,3931.000000,3931.000000,1050298
2021-02-14,null,null,null,null,null,null
2021-02-16,3936.500000,3959.250000,3918.750000,3927.750000,3927.750000,1450425
2021-02-17,3929.000000,3932.250000,3896.500000,3928.000000,3928.000000,1382825
2021-02-18,3928.250000,3936.000000,3880.500000,3909.500000,3909.500000,1536949
2021-02-19,3910.500000,3931.000000,3890.250000,3903.000000,3903.000000,1427294
2021-02-21,null,null,null,null,null,null
2021-02-22,3905.500000,3914.500000,3861.250000,3873.500000,3873.500000,1514278
2021-02-23,3878.000000,3896.000000,3804.750000,3878.000000,3878.000000,2282940
2021-02-24,3876.250000,3927.750000,3851.750000,3922.500000,3922.500000,1944661
2021-02-25,3923.500000,3934.500000,3810.250000,3828.000000,3828.000000,2863387
2021-02-26,3823.250000,3858.500000,3785.000000,3809.250000,3809.250000,3010481
2021-02-28,null,null,null,null,null,null
2021-03-01,3817.250000,3912.000000,3812.500000,3898.750000,3898.750000,1692835
2021-03-02,3903.250000,3906.500000,3865.500000,3867.500000,3867.500000,1641396
2021-03-03,3867.500000,3898.000000,3813.000000,3816.750000,3816.750000,2203398
2021-03-04,3818.000000,3842.250000,3720.500000,3765.500000,3765.500000,3192468
2021-03-05,3765.500000,3850.000000,3728.500000,3839.000000,3839.000000,2948117
2021-03-07,null,null,null,null,null,null
2021-03-08,3854.750000,3878.750000,3796.250000,3819.250000,3819.250000,2198363
2021-03-09,3831.250000,3901.250000,3826.250000,3873.250000,3873.250000,2198363
2021-03-10,3878.500000,3890.750000,3856.250000,3885.500000,3885.500000,287461
